ID    |TERMINO                       |CF    |DF    
2677  |cejijunt                      |1     |1     
2678  |cel                           |65    |1     
2679  |celeberr                      |1     |1     
2680  |celeberrim                    |2     |1     
2681  |celebr                        |29    |1     
2682  |celebrandot                   |1     |1     
2683  |celebrar                      |1     |1     
2684  |celemin                       |2     |1     
2685  |celer                         |3     |1     
2686  |celest                        |3     |1     
2687  |celesti                       |1     |1     
2688  |celestial                     |1     |1     
2689  |celill                        |1     |1     
2690  |celos                         |11    |1     
2691  |celosi                        |4     |1     
2692  |celsitud                      |1     |1     
2693  |cen                           |55    |1     
2694  |cenareis                      |1     |1     
2695  |cencerr                       |5     |1     
2696  |cencerril                     |1     |1     
2697  |cencerrun                     |1     |1     
2698  |cendal                        |3     |1     
2699  |ceni                          |3     |1     
2700  |cenial                        |1     |1     
2701  |ceniz                         |4     |1     
2702  |cenos                         |1     |1     
2703  |cens                          |2     |1     
2704  |censur                        |4     |1     
2705  |centinel                      |7     |1     
2706  |centr                         |4     |1     
2707  |cep                           |2     |1     
2708  |ceptr                         |5     |1     
2709  |cer                           |10    |1     
2710  |cerbatan                      |1     |1     
2711  |cerbel                        |2     |1     
2712  |cerc                          |90    |1     
2713  |cercan                        |6     |1     
2714  |cercen                        |1     |1     
2715  |cerd                          |6     |1     
2716  |cerdos                        |1     |1     
2717  |ceremoni                      |23    |1     
2718  |ceremonial                    |1     |1     
2719  |cerimoni                      |1     |1     
2720  |cern                          |2     |1     
2721  |cernader                      |2     |1     
2722  |cernical                      |1     |1     
2723  |cerr                          |80    |1     
2724  |cerradur                      |2     |1     
2725  |cerrer                        |2     |1     
2726  |cerroj                        |2     |1     
2727  |cerros                        |1     |1     
2728  |certain                       |2     |1     
2729  |certez                        |1     |1     
2730  |certidumbr                    |3     |1     
2731  |certif                        |2     |1     
2732  |certific                      |6     |1     
2733  |certis                        |1     |1     
2734  |certisim                      |2     |1     
2735  |cervant                       |8     |1     
2736  |cervellon                     |1     |1     
2737  |cervic                        |1     |1     
2738  |cervin                        |1     |1     
2739  |ces                           |33    |1     
2740  |cesar                         |1     |1     
2741  |cesari                        |2     |1     
2742  |cetin                         |1     |1     
2743  |cetr                          |8     |1     
2744  |cevil                         |1     |1     
2745  |chamelot                      |1     |1     
2746  |chamusc                       |2     |1     
2747  |chancilleri                   |1     |1     
2748  |chang                         |1     |1     
2749  |chant                         |1     |1     
2750  |chap                          |4     |1     
2751  |chapin                        |2     |1     
2752  |chapitel                      |1     |1     
2753  |charg                         |7     |1     
2754  |charit                        |1     |1     
2755  |chariti                       |1     |1     
2756  |charni                        |1     |1     
2757  |chat                          |4     |1     
2758  |check                         |2     |1     
2759  |checks                        |1     |1     
2760  |chic                          |4     |1     
2761  |chichon                       |1     |1     
2762  |chicori                       |1     |1     
2763  |chillador                     |1     |1     
2764  |chimene                       |3     |1     
2765  |chin                          |3     |1     
2766  |chinch                        |1     |1     
2767  |chinel                        |2     |1     
2768  |chinesc                       |1     |1     
2769  |chipr                         |3     |1     
2770  |chirimi                       |9     |1     
2771  |chirri                        |1     |1     
2772  |chism                         |1     |1     
2773  |chocarrer                     |1     |1     
2774  |choos                         |1     |1     
2775  |choquezuel                    |1     |1     
2776  |choz                          |9     |1     
2777  |christus                      |1     |1     
2778  |chufet                        |1     |1     
2779  |chup                          |1     |1     
2780  |churriller                    |1     |1     
2781  |churumbel                     |1     |1     
2782  |chusm                         |11    |1     
2783  |chuz                          |1     |1     
2784  |cianiis                       |2     |1     
2785  |ciber                         |3     |1     
2786  |cicatric                      |1     |1     
2787  |ciceron                       |3     |1     
2788  |ciceronian                    |2     |1     
2789  |cid                           |14    |1     
2790  |cieg                          |21    |1     
2791  |ciel                          |276   |1     
2792  |cien                          |38    |1     
2793  |cienci                        |28    |1     
2794  |cient                         |17    |1     
2795  |cierr                         |9     |1     
2796  |cierres                       |1     |1     
2797  |ciert                         |173   |1     
2798  |cifr                          |8     |1     
2799  |cig                           |1     |1     
2800  |cim                           |13    |1     
2801  |cimenteri                     |1     |1     
2802  |cimient                       |4     |1     
2803  |cimitarr                      |1     |1     
2804  |cin                           |4     |1     
2805  |cinc                          |47    |1     
2806  |cinch                         |14    |1     
2807  |cincuent                      |16    |1     
2808  |cines                         |1     |1     
2809  |cinic                         |1     |1     
2810  |cinos                         |2     |1     
2811  |cint                          |6     |1     
2812  |cintur                        |9     |1     
2813  |cipion                        |1     |1     
2814  |cipr                          |3     |1     
2815  |circ                          |1     |1     
2816  |circuit                       |1     |1     
2817  |circul                        |2     |1     
2818  |circunspect                   |1     |1     
2819  |circunst                      |30    |1     
2820  |circunvecin                   |7     |1     
2821  |circust                       |5     |1     
2822  |cirial                        |1     |1     
2823  |cirimoni                      |1     |1     
2824  |cirongili                     |3     |1     
2825  |cirujan                       |1     |1     
2826  |cismat                        |1     |1     
2827  |cit                           |7     |1     
2828  |citacion                      |1     |1     
2829  |ciud                          |101   |1     
2830  |ciudad                        |12    |1     
2831  |ciudadan                      |3     |1     
2832  |civil                         |1     |1     
2833  |cla                           |1     |1     
2834  |claim                         |1     |1     
2835  |clar                          |116   |1     
2836  |claraboy                      |3     |1     
2837  |clarid                        |14    |1     
2838  |claridian                     |1     |1     
2839  |clarin                        |4     |1     
2840  |claris                        |1     |1     
2841  |clarisim                      |4     |1     
2842  |claroescur                    |1     |1     
2843  |claudi                        |17    |1     
2844  |clauquel                      |1     |1     
2845  |claustr                       |3     |1     
2846  |clav                          |13    |1     
2847  |clavased                      |1     |1     
2848  |clavij                        |17    |1     
2849  |clavilen                      |18    |1     
2850  |clavosel                      |1     |1     
2851  |clearly                       |1     |1     
2852  |clemenci                      |1     |1     
2853  |clement                       |1     |1     
2854  |clerical                      |1     |1     
2855  |clerig                        |6     |1     
2856  |clim                          |2     |1     
2857  |clitic                        |1     |1     
2858  |clori                         |8     |1     
2859  |cobard                        |17    |1     
2860  |cobardi                       |4     |1     
2861  |cobi                          |1     |1     
2862  |cobij                         |1     |1     
2863  |cobr                          |43    |1     
2864  |cobrar                        |1     |1     
2865  |cobrari                       |1     |1     
2866  |coc                           |22    |1     
2867  |coch                          |35    |1     
2868  |cocher                        |2     |1     
2869  |coci                          |3     |1     
2870  |cocin                         |2     |1     
2871  |cociner                       |8     |1     
2872  |cocodril                      |1     |1     
2873  |cod                           |5     |1     
2874  |codici                        |18    |1     
2875  |codicil                       |3     |1     
2876  |cofadri                       |1     |1     
2877  |cofi                          |1     |1     
2878  |cofr                          |4     |1     
2879  |cofradi                       |3     |1     
2880  |cofrecill                     |2     |1     
2881  |cog                           |37    |1     
2882  |cogel                         |1     |1     
2883  |coger                         |2     |1     
2884  |cogi                          |7     |1     
2885  |cogieronl                     |2     |1     
2886  |cogiol                        |2     |1     
2887  |cogitation                    |1     |1     
2888  |cogot                         |2     |1     
2889  |cohech                        |8     |1     
2890  |cohet                         |1     |1     
2891  |cohond                        |1     |1     
2892  |coim                          |1     |1     
2893  |coj                           |9     |1     
2894  |coje                          |2     |1     
2895  |cojeeis                       |1     |1     
2896  |cojin                         |9     |1     
2897  |col                           |31    |1     
2898  |colambr                       |1     |1     
2899  |colch                         |7     |1     
2900  |colchon                       |5     |1     
2901  |coleg                         |5     |1     
2902  |colegi                        |6     |1     
2903  |colegial                      |1     |1     
2904  |coler                         |55    |1     
2905  |colet                         |2     |1     
2906  |colg                          |28    |1     
2907  |colgando                      |1     |1     
2908  |colig                         |4     |1     
2909  |coligi                        |4     |1     
2910  |colij                         |1     |1     
2911  |coll                          |4     |1     
2912  |collar                        |1     |1     
2913  |collection                    |4     |1     
2914  |colm                          |8     |1     
2915  |colmen                        |2     |1     
2916  |colmes                        |1     |1     
2917  |colmill                       |2     |1     
2918  |colmillud                     |1     |1     
2919  |coloc                         |7     |1     
2920  |colodr                        |1     |1     
2921  |colodrill                     |2     |1     
2922  |colon                         |1     |1     
2923  |coloqui                       |18    |1     
2924  |color                         |48    |1     
2925  |colorast                      |1     |1     
2926  |columbr                       |2     |1     
2927  |colun                         |5     |1     
2928  |colur                         |1     |1     
2929  |com                           |2759  |1     
2930  |comais                        |1     |1     
2931  |comal                         |2     |1     
2932  |comarc                        |1     |1     
2933  |combat                        |7     |1     
2934  |combati                       |3     |1     
2935  |combatient                    |5     |1     
2936  |combatist                     |1     |1     
2937  |comed                         |36    |1     
2938  |comedi                        |38    |1     
2939  |comedid                       |4     |1     
2940  |comedor                       |3     |1     
2941  |comem                         |2     |1     
2942  |comenc                        |6     |1     
2943  |coment                        |1     |1     
2944  |comentari                     |1     |1     
2945  |comenz                        |220   |1     
2946  |comenzais                     |1     |1     
2947  |comenzari                     |2     |1     
2948  |comenzol                      |1     |1     
2949  |comenzos                      |2     |1     
2950  |comer                         |7     |1     
2951  |comeri                        |2     |1     
2952  |comet                         |19    |1     
2953  |cometer                       |1     |1     
2954  |cometi                        |2     |1     
2955  |comi                          |16    |1     
2956  |comic                         |1     |1     
2957  |comienc                       |2     |1     
2958  |comienz                       |15    |1     
2959  |comier                        |1     |1     
2960  |comilon                       |3     |1     
2961  |comisari                      |11    |1     
2962  |comision                      |5     |1     
2963  |comitr                        |2     |1     
2964  |commercial                    |1     |1     
2965  |committ                       |1     |1     
2966  |comod                         |31    |1     
2967  |comoqu                        |8     |1     
2968  |comorin                       |1     |1     
2969  |comp                          |12    |1     
2970  |compadr                       |29    |1     
2971  |compan                        |7     |1     
2972  |companer                      |52    |1     
2973  |compani                       |64    |1     
2974  |compar                        |15    |1     
2975  |comparacion                   |11    |1     
2976  |compareis                     |1     |1     
2977  |compas                        |11    |1     
2978  |compasion                     |18    |1     
2979  |compatriot                    |5     |1     
2980  |compel                        |1     |1     
2981  |compeli                       |1     |1     
2982  |compet                        |5     |1     
2983  |competent                     |4     |1     
2984  |competidor                    |2     |1     
2985  |competient                    |1     |1     
2986  |compilation                   |1     |1     
2987  |complac                       |4     |1     
2988  |complaceis                    |1     |1     
2989  |complacert                    |1     |1     
2990  |complexion                    |4     |1     
2991  |complianc                     |5     |1     
2992  |comply                        |6     |1     
2993  |complying                     |3     |1     
2994  |compon                        |33    |1     
2995  |compondr                      |2     |1     
2996  |componi                       |2     |1     
2997  |composicion                   |3     |1     
2998  |compostur                     |7     |1     
2999  |compr                         |34    |1     
3000  |comprar                       |1     |1     
3001  |comprari                      |2     |1     
3002  |comprehend                    |1     |1     
3003  |compreis                      |1     |1     
3004  |compress                      |1     |1     
3005  |compuert                      |1     |1     
3006  |compuest                      |37    |1     
3007  |compungios                    |1     |1     
3008  |compus                        |18    |1     
3009  |comput                        |4     |1     
3010  |computers                     |2     |1     
3011  |comun                         |36    |1     
3012  |comunic                       |15    |1     
3013  |comunicacion                  |1     |1     
3014  |comunicall                    |2     |1     
3015  |comunicar                     |1     |1     
3016  |comuniqu                      |6     |1     
3017  |comut                         |1     |1     
3018  |con                           |4202  |1     
3019  |concav                        |5     |1     
3020  |conceb                        |1     |1     
3021  |concebi                       |2     |1     
3022  |conced                        |22    |1     
3023  |concedersel                   |1     |1     
3024  |concedi                       |6     |1     
3025  |concediosel                   |1     |1     
3026  |concej                        |3     |1     
3027  |concejil                      |1     |1     
3028  |concept                       |8     |1     
3029  |concernient                   |4     |1     
3030  |concerning                    |2     |1     
3031  |concert                       |43    |1     
3032  |concertarons                  |1     |1     
3033  |concet                        |2     |1     
3034  |conch                         |3     |1     
3035  |concib                        |1     |1     
3036  |concienci                     |40    |1     
3037  |conciert                      |20    |1     
3038  |conclu                        |18    |1     
3039  |conclui                       |1     |1     
3040  |conclusion                    |2     |1     
3041  |concluyent                    |1     |1     
3042  |concluyes                     |3     |1     
3043  |concluyos                     |1     |1     
3044  |concord                       |2     |1     
3045  |concordi                      |2     |1     
3046  |cond                          |42    |1     
3047  |condaz                        |1     |1     
3048  |condecenci                    |1     |1     
3049  |condecend                     |1     |1     
3050  |condecendi                    |1     |1     
3051  |conden                        |17    |1     
3052  |condes                        |34    |1     
3053  |condescend                    |1     |1     
3054  |condesil                      |1     |1     
3055  |condicion                     |84    |1     
3056  |condol                        |3     |1     
3057  |condolim                      |1     |1     
3058  |conduc                        |11    |1     
3059  |conducis                      |1     |1     
3060  |condumi                       |1     |1     
3061  |condutor                      |1     |1     
3062  |conej                         |4     |1     
3063  |conf                          |6     |1     
3064  |confes                        |31    |1     
3065  |confesais                     |2     |1     
3066  |confesari                     |1     |1     
3067  |confesion                     |4     |1     
3068  |confesol                      |1     |1     
3069  |confesor                      |2     |1     
3070  |confi                         |15    |1     
3071  |confianz                      |8     |1     
3072  |confies                       |20    |1     
3073  |confin                        |1     |1     
3074  |confirm                       |33    |1     
3075  |confirmacion                  |9     |1     
3076  |confirmation                  |1     |1     
3077  |confirmol                     |3     |1     
3078  |confirmos                     |1     |1     
3079  |confiscacion                  |1     |1     
3080  |conflit                       |1     |1     
3081  |conform                       |29    |1     
3082  |confort                       |2     |1     
3083  |confund                       |7     |1     
3084  |confus                        |46    |1     
3085  |confusion                     |25    |1     
3086  |confutacion                   |1     |1     
3087  |congoj                        |11    |1     
3088  |congojadisim                  |1     |1     
3089  |congojart                     |1     |1     
3090  |congojos                      |1     |1     
3091  |congratul                     |1     |1     
3092  |conjetur                      |10    |1     
3093  |conjur                        |5     |1     
3094  |conjurart                     |1     |1     
3095  |conjurot                      |3     |1     
3096  |conllev                       |3     |1     
3097  |conmig                        |91    |1     
3098  |conmov                        |1     |1     
3099  |conmovi                       |1     |1     
3100  |conoc                         |220   |1     
3101  |conocell                      |2     |1     
3102  |conocer                       |2     |1     
3103  |conocert                      |2     |1     
3104  |conoci                        |68    |1     
3105  |conocieronl                   |1     |1     
3106  |conocies                      |1     |1     
3107  |conociesed                    |1     |1     
3108  |conocil                       |3     |1     
3109  |conociol                      |2     |1     
3110  |conociom                      |1     |1     
3111  |conocistel                    |1     |1     
3112  |conort                        |1     |1     
3113  |conoz                         |1     |1     
3114  |conozc                        |51    |1     
3115  |conquist                      |6     |1     
3116  |cons                          |11    |1     
3117  |consabidor                    |1     |1     
3118  |consagr                       |1     |1     
3119  |consecuent                    |1     |1     
3120  |consegu                       |9     |1     
3121  |conseguiri                    |2     |1     
3122  |consej                        |88    |1     
3123  |consejer                      |5     |1     
3124  |consent                       |18    |1     
3125  |consenti                      |5     |1     
3126  |consentir                     |8     |1     
3127  |consentiri                    |1     |1     
3128  |consequential                 |1     |1     
3129  |conserv                       |20    |1     
3130  |consider                      |62    |1     
3131  |consideracion                 |17    |1     
3132  |considerais                   |1     |1     
3133  |consideral                    |1     |1     
3134  |consideram                    |1     |1     
3135  |consient                      |14    |1     
3136  |consig                        |66    |1     
3137  |consigu                       |2     |1     
3138  |consiguient                   |5     |1     
3139  |consint                       |6     |1     
3140  |consinti                      |16    |1     
3141  |consintiri                    |1     |1     
3142  |consist                       |3     |1     
3143  |consisti                      |4     |1     
3144  |consol                        |25    |1     
3145  |consolabal                    |1     |1     
3146  |consolacion                   |1     |1     
3147  |consolar                      |1     |1     
3148  |consolol                      |1     |1     
3149  |consolos                      |2     |1     
3150  |consorci                      |1     |1     
3151  |consort                       |3     |1     
3152  |const                         |3     |1     
3153  |constant                      |1     |1     
3154  |constantinopl                 |7     |1     
3155  |constitu                      |4     |1     
3156  |constru                       |1     |1     
3157  |consuegr                      |1     |1     
3158  |consuel                       |19    |1     
3159  |consuelom                     |1     |1     
3160  |consult                       |1     |1     
3161  |consum                        |13    |1     
3162  |consumi                       |4     |1     
3163  |consumidor                    |1     |1     
3164  |cont                          |217   |1     
3165  |contab                        |1     |1     
3166  |contact                       |4     |1     
3167  |contadm                       |3     |1     
3168  |contadn                       |1     |1     
3169  |contador                      |1     |1     
3170  |contagi                       |2     |1     
3171  |contain                       |2     |1     
3172  |containing                    |1     |1     
3173  |contais                       |1     |1     
3174  |contall                       |2     |1     
3175  |contamin                      |1     |1     
3176  |contandosel                   |1     |1     
3177  |contar                        |6     |1     
3178  |contari                       |2     |1     
3179  |contarmel                     |1     |1     
3180  |contaronl                     |1     |1     
3181  |contarosl                     |1     |1     
3182  |contart                       |1     |1     
3183  |contartel                     |1     |1     
3184  |conteis                       |1     |1     
3185  |contel                        |1     |1     
3186  |contempl                      |6     |1     
3187  |contemplab                    |1     |1     
3188  |conten                        |10    |1     
3189  |contend                       |4     |1     
3190  |contendor                     |2     |1     
3191  |contendr                      |1     |1     
3192  |conteng                       |2     |1     
3193  |conteni                       |13    |1     
3194  |content                       |196   |1     
3195  |contentall                    |1     |1     
3196  |contentar                     |1     |1     
3197  |contentat                     |2     |1     
3198  |contentisim                   |7     |1     
3199  |contentos                     |2     |1     
3200  |contest                       |2     |1     
3201  |contestur                     |1     |1     
3202  |contien                       |20    |1     
3203  |contiend                      |7     |1     
3204  |contig                        |20    |1     
3205  |contin                        |13    |1     
3206  |continent                     |22    |1     
3207  |conting                       |1     |1     
3208  |contingent                    |2     |1     
3209  |continu                       |27    |1     
3210  |continuacion                  |1     |1     
3211  |contol                        |4     |1     
3212  |contone                       |2     |1     
3213  |contorn                       |18    |1     
3214  |contosel                      |1     |1     
3215  |contr                         |129   |1     
3216  |contract                      |1     |1     
3217  |contradec                     |5     |1     
3218  |contradeci                    |1     |1     
3219  |contradicion                  |1     |1     
3220  |contradig                     |1     |1     
3221  |contrahac                     |1     |1     
3222  |contrahech                    |10    |1     
3223  |contramin                     |1     |1     
3224  |contrapes                     |1     |1     
3225  |contrapuest                   |3     |1     
3226  |contrapunt                    |3     |1     
3227  |contrari                      |59    |1     
3228  |contrasen                     |1     |1     
3229  |contrast                      |2     |1     
3230  |contrat                       |1     |1     
3231  |contratacion                  |1     |1     
3232  |contraven                     |10    |1     
3233  |contrech                      |2     |1     
3234  |contributions                 |2     |1     
3235  |contumaz                      |1     |1     
3236  |conv                          |10    |1     
3237  |conven                        |4     |1     
3238  |convenc                       |1     |1     
3239  |convendr                      |2     |1     
3240  |convenent                     |1     |1     
3241  |conveng                       |4     |1     
3242  |conveni                       |23    |1     
3243  |convenient                    |8     |1     
3244  |convers                       |2     |1     
3245  |conversacion                  |13    |1     
3246  |conversion                    |2     |1     
3247  |convert                       |12    |1     
3248  |convid                        |11    |1     
3249  |convien                       |28    |1     
3250  |conviert                      |1     |1     
3251  |conviertal                    |1     |1     
3252  |convin                        |2     |1     
3253  |convirt                       |1     |1     
3254  |convirti                      |2     |1     
3255  |convirtiendosel               |1     |1     
3256  |convirties                    |1     |1     
3257  |convit                        |2     |1     
3258  |cop                           |6     |1     
3259  |copet                         |1     |1     
3260  |copi                          |10    |1     
3261  |copios                        |1     |1     
3262  |copiosisim                    |2     |1     
3263  |copl                          |10    |1     
3264  |cople                         |1     |1     
3265  |copler                        |1     |1     
3266  |coplit                        |1     |1     
3267  |copy                          |12    |1     
3268  |copying                       |4     |1     
3269  |copyright                     |14    |1     
3270  |cor                           |3     |1     
3271  |coraj                         |3     |1     
3272  |coral                         |14    |1     
3273  |corazon                       |147   |1     
3274  |corazoncill                   |1     |1     
3275  |corbach                       |3     |1     
3276  |corchet                       |3     |1     
3277  |corchuel                      |6     |1     
3278  |corcov                        |4     |1     
3279  |cord                          |1     |1     
3280  |cordal                        |4     |1     
3281  |cordel                        |10    |1     
3282  |cordelej                      |1     |1     
3283  |cordellat                     |1     |1     
3284  |corder                        |2     |1     
3285  |corderill                     |1     |1     
3286  |cordob                        |15    |1     
3287  |cordon                        |1     |1     
3288  |cordu                         |1     |1     
3289  |cordur                        |8     |1     
3290  |corell                        |1     |1     
3291  |corm                          |1     |1     
3292  |corman                        |2     |1     
3293  |corn                          |1     |1     
3294  |cornej                        |1     |1     
3295  |cornet                        |4     |1     
3296  |coron                         |49    |1     
3297  |coronart                      |1     |1     
3298  |coroz                         |5     |1     
3299  |corpezuel                     |2     |1     
3300  |corpin                        |1     |1     
3301  |corporal                      |2     |1     
3302  |corporation                   |1     |1     
3303  |corpus                        |1     |1     
3304  |corr                          |127   |1     
3305  |corral                        |24    |1     
3306  |corre                         |15    |1     
3307  |correcion                     |3     |1     
3308  |correct                       |1     |1     
3309  |corrections                   |2     |1     
3310  |corrediz                      |2     |1     
3311  |corredor                      |13    |1     
3312  |correg                        |4     |1     
3313  |correos                       |1     |1     
3314  |correri                       |1     |1     
3315  |corrert                       |1     |1     
3316  |correspond                    |19    |1     
3317  |correspondeis                 |1     |1     
3318  |correspondent                 |8     |1     
3319  |corresponder                  |2     |1     
3320  |correspondi                   |6     |1     
3321  |correspondient                |1     |1     
3322  |corretor                      |2     |1     
3323  |corri                         |28    |1     
3324  |corrid                        |1     |1     
3325  |corridisim                    |1     |1     
3326  |corrient                      |13    |1     
3327  |corrier                       |1     |1     
3328  |corrig                        |3     |1     
3329  |corrigi                       |2     |1     
3330  |corrij                        |1     |1     
3331  |corrill                       |3     |1     
3332  |corrobor                      |1     |1     
3333  |corroborans                   |1     |1     
3334  |corrupt                       |1     |1     
3335  |cors                          |6     |1     
3336  |cort                          |138   |1     
3337  |cortadill                     |1     |1     
3338  |cortador                      |2     |1     
3339  |cortapis                      |1     |1     
3340  |cortar                        |2     |1     
3341  |cortari                       |1     |1     
3342  |corted                        |2     |1     
3343  |cortes                        |21    |1     
3344  |cortesan                      |26    |1     
3345  |cortesani                     |1     |1     
3346  |cortesi                       |54    |1     
3347  |cortesisim                    |2     |1     
3348  |cortez                        |7     |1     
3349  |corv                          |4     |1     
3350  |corvet                        |1     |1     
3351  |cos                           |804   |1     
3352  |cosari                        |6     |1     
3353  |coscorron                     |1     |1     
3354  |cosech                        |4     |1     
3355  |coselet                       |1     |1     
3356  |cosi                          |1     |1     
3357  |cosill                        |1     |1     
3358  |cosmograf                     |4     |1     
3359  |cosmografi                    |1     |1     
3360  |cosqu                         |1     |1     
3361  |cosquill                      |3     |1     
3362  |cost                          |65    |1     
3363  |costal                        |12    |1     
3364  |costantinopl                  |3     |1     
3365  |costari                       |1     |1     
3366  |costezuel                     |1     |1     
3367  |costill                       |24    |1     
3368  |costos                        |3     |1     
3369  |costs                         |2     |1     
3370  |costumbr                      |56    |1     
3371  |costur                        |1     |1     
3372  |cot                           |3     |1     
3373  |cotej                         |1     |1     
3374  |cotoni                        |1     |1     
3375  |cotuf                         |3     |1     
3376  |could                         |1     |1     
3377  |countri                       |1     |1     
3378  |country                       |2     |1     
3379  |cours                         |1     |1     
3380  |coyund                        |2     |1     
3381  |coyuntur                      |10    |1     
3382  |coz                           |1     |1     
3383  |cre                           |206   |1     
3384  |creais                        |2     |1     
3385  |creal                         |1     |1     
3386  |cream                         |8     |1     
3387  |creanm                        |1     |1     
3388  |creat                         |2     |1     
3389  |creating                      |4     |1     
3390  |creation                      |1     |1     
3391  |crec                          |22    |1     
3392  |creci                         |10    |1     
3393  |cred                          |5     |1     
3394  |credit                        |34    |1     
3395  |credul                        |1     |1     
3396  |creedm                        |2     |1     
3397  |creeis                        |2     |1     
3398  |creel                         |1     |1     
3399  |creem                         |2     |1     
3400  |creenci                       |1     |1     
3401  |creer                         |3     |1     
3402  |crei                          |15    |1     
3403  |creibl                        |1     |1     
3404  |crepuscul                     |1     |1     
3405  |cret                          |1     |1     
3406  |crey                          |16    |1     
3407  |creyend                       |35    |1     
3408  |creyendol                     |2     |1     
3409  |creyent                       |2     |1     
3410  |creyer                        |6     |1     
3411  |creyeron                      |7     |1     
3412  |creyes                        |8     |1     
3413  |creyol                        |1     |1     
3414  |cri                           |188   |1     
3415  |criador                       |1     |1     
3416  |crianz                        |7     |1     
3417  |criatur                       |12    |1     
3418  |crib                          |4     |1     
3419  |criem                         |1     |1     
3420  |crin                          |2     |1     
3421  |criom                         |1     |1     
3422  |cris                          |2     |1     
3423  |crist                         |3     |1     
3424  |cristal                       |12    |1     
3425  |cristalin                     |2     |1     
3426  |cristel                       |1     |1     
3427  |cristian                      |184   |1     
3428  |cristiand                     |6     |1     
3429  |cristianesc                   |1     |1     
3430  |cristin                       |2     |1     
3431  |cristobal                     |2     |1     
3432  |critic                        |1     |1     
3433  |critical                      |1     |1     
3434  |cruc                          |8     |1     
3435  |crucifij                      |1     |1     
3436  |crucis                        |1     |1     
3437  |crud                          |2     |1     
3438  |crudez                        |1     |1     
3439  |cruel                         |31    |1     
3440  |crueld                        |12    |1     
3441  |crueldad                      |2     |1     
3442  |cruj                          |5     |1     
3443  |cruji                         |5     |1     
3444  |cruz                          |20    |1     
3445  |cuadr                         |13    |1     
3446  |cuadrar                       |2     |1     
3447  |cuadrill                      |6     |1     
3448  |cuadriller                    |38    |1     
3449  |cuaj                          |3     |1     
3450  |cual                          |904   |1     
3451  |cualesqu                      |5     |1     
3452  |cualesqui                     |1     |1     
3453  |cualid                        |1     |1     
3454  |cualific                      |1     |1     
3455  |cualqu                        |38    |1     
3456  |cualqui                       |33    |1     
3457  |cuan                          |79    |1     
3458  |cuand                         |769   |1     
3459  |cuant                         |406   |1     
3460  |cuarent                       |8     |1     
3461  |cuaresm                       |1     |1     
3462  |cuart                         |27    |1     
3463  |cuartal                       |1     |1     
3464  |cuartan                       |2     |1     
3465  |cuartel                       |2     |1     
3466  |cuartill                      |9     |1     
3467  |cuasi                         |1     |1     
3468  |cuatr                         |160   |1     
3469  |cuatralb                      |3     |1     
3470  |cuatrer                       |1     |1     
3471  |cuatrin                       |1     |1     
3472  |cuatrocient                   |8     |1     
3473  |cub                           |4     |1     
3474  |cubiert                       |45    |1     
3475  |cubr                          |34    |1     
3476  |cubret                        |2     |1     
3477  |cubri                         |18    |1     
3478  |cubrial                       |1     |1     
3479  |cubrierons                    |1     |1     
3480  |cubrios                       |1     |1     
3481  |cubrir                        |1     |1     
3482  |cuch                          |2     |1     
3483  |cuchar                        |2     |1     
3484  |cuchill                       |35    |1     
3485  |cudici                        |1     |1     
3486  |cue                           |1     |1     
3487  |cuec                          |3     |1     
3488  |cuelg                         |3     |1     
3489  |cuelguens                     |1     |1     
3490  |cuell                         |37    |1     
3491  |cuenc                         |2     |1     
3492  |cuent                         |363   |1     
3493  |cuental                       |1     |1     
3494  |cuentamel                     |1     |1     
3495  |cuentenosl                    |1     |1     
3496  |cuer                          |27    |1     
3497  |cuerd                         |41    |1     
3498  |cuern                         |14    |1     
3499  |cuerp                         |166   |1     
3500  |cuerv                         |7     |1     
3501  |cuesc                         |1     |1     
3502  |cuest                         |32    |1     
3503  |cuestion                      |2     |1     
3504  |cuev                          |46    |1     
3505  |cuid                          |58    |1     
3506  |cuidad                        |1     |1     
3507  |cuit                          |25    |1     
3508  |cuitisim                      |1     |1     
3509  |culebr                        |6     |1     
3510  |culp                          |77    |1     
3511  |culpab                        |1     |1     
3512  |culpant                       |1     |1     
3513  |cultiv                        |2     |1     
3514  |cultivacion                   |1     |1     
3515  |cumbr                         |9     |1     
3516  |cumpl                         |90    |1     
3517  |cumplais                      |3     |1     
3518  |cumpli                        |10    |1     
3519  |cumplidl                      |1     |1     
3520  |cumplier                      |1     |1     
3521  |cumplill                      |3     |1     
3522  |cumplimient                   |10    |1     
3523  |cumpliol                      |1     |1     
3524  |cumplir                       |8     |1     
3525  |cumpliri                      |4     |1     
3526  |cumplis                       |1     |1     
3527  |cumplisel                     |1     |1     
3528  |cun                           |6     |1     
3529  |cund                          |2     |1     
3530  |cup                           |14    |1     
3531  |cur                           |371   |1     
3532  |curadill                      |1     |1     
3533  |curambr                       |1     |1     
3534  |curari                        |1     |1     
3535  |curci                         |2     |1     
3536  |cureis                        |1     |1     
3537  |curemon                       |1     |1     
3538  |curi                          |20    |1     
3539  |curiambr                      |1     |1     
3540  |curiel                        |1     |1     
3541  |curios                        |25    |1     
3542  |curis                         |1     |1     
